id,name,approach_date,absolute_magnitude_h,est_diameter_min_km,est_diameter_max_km,is_potentially_hazardous,relative_velocity_kph,miss_distance_km,miss_distance_lunar,orbiting_body,avg_diameter_km,approach_month,size_category
2467917,467917 (2011 OP24),2025-09-17,19.84,0.2861244538,0.6397937287,False,67513.270724717,21791199.030549817,56.6637507799,Earth,0.46295909125,2025-09,large
3082930,(2001 SY269),2025-09-17,21.5,0.1332155667,0.2978790628,True,98593.3569010064,54717982.98058141,142.2834120529,Earth,0.21554731475,2025-09,large
3735181,(2015 VO142),2025-09-17,28.9,0.004411182,0.0098637028,False,10259.2063096956,21538623.95579683,56.006978701,Earth,0.0071374424,2025-09,small
3843622,(2019 QU2),2025-09-17,22.21,0.0960627415,0.2148028201,False,71197.0633518217,15199161.768141204,39.5224472635,Earth,0.1554327808,2025-09,medium
2162117,162117 (1998 SD15),2025-09-19,19.04,0.4135756649,0.9247833005,False,61938.8210369362,20499212.27031777,53.304191919,Earth,0.6691794826999999,2025-09,large
3607823,(2012 QL14),2025-09-19,24.48,0.0337718597,0.0755161741,False,45624.2199087373,30160436.264641978,78.4263152072,Earth,0.054644016899999995,2025-09,medium
3727041,(2015 RQ35),2025-09-19,24.3,0.0366906138,0.0820427065,False,55921.3212914248,66354229.47019831,172.5411950311,Earth,0.05936666015,2025-09,medium
3788124,(2017 UD8),2025-09-19,24.05,0.0411675457,0.0920534307,False,47429.7062280966,66822592.42636662,173.7590812881,Earth,0.0666104882,2025-09,medium
2385605,385605 (2005 EJ225),2025-09-21,18.97,0.4271249851,0.9550805015,True,78867.2331559361,27119893.35105081,70.5199780823,Earth,0.6911027433,2025-09,large
3454734,(2009 FX4),2025-09-21,25.4,0.022108281,0.0494356193,False,25037.1978835906,66602225.36911039,173.1860598589,Earth,0.035771950149999995,2025-09,small
3772995,(2017 FX101),2025-09-21,25.38,0.0223128464,0.0498930414,False,41947.4438828964,52160533.77581958,135.633265626,Earth,0.0361029439,2025-09,small
3835873,(2018 VE),2025-09-21,28.2,0.0060891262,0.0136157002,False,33415.9851802907,37175528.28496476,96.6676898732,Earth,0.0098524132,2025-09,small
3838859,(2019 DJ1),2025-09-21,26.8,0.0116025908,0.0259441818,False,30738.7822616074,22825861.671806578,59.3541886013,Earth,0.0187733863,2025-09,small
3869331,(2019 SB6),2025-09-21,26.78,0.0117099483,0.0261842403,False,19826.6014065396,25833246.337190542,67.1743041874,Earth,0.0189470943,2025-09,small
3714456,(2015 FU117),2025-09-20,24.43,0.0345585074,0.0772751717,False,23794.671811191,13000368.75933126,33.804916122,Earth,0.05591683955,2025-09,medium
3761549,(2016 UJ31),2025-09-20,19.47,0.3392774354,0.7586474087,True,64281.294662279,22635713.10005439,58.859744433,Earth,0.54896242205,2025-09,large
